Number_of_Records;Created_Time;Filter;Image_URL;latitude;Number_of_likes;Link;Location;longitude;number_of_Comments;Tags;Text;Username
1;19/10/2018 23:59;Clarendon;https://scontent.cdninstagram.com/vp/169abadb7240ceb66632dda07294968c/5C7FB75C/t51.2885-15/e35/s320x320/43714507_358736614668841_5783103870029337192_n.jpg;0;45;https://www.instagram.com/youssef_berzegane/p/BpIk1H6gRyB/;;0;0;like4likes,folow4folow,likers,liketime,follow4like,like4likeback,oncf,follower,likeforlikes,follow4followback,art,liked,followers,??????oncf,artwork,following;"#??????ONCF #oncf 
#like4likes #likers #like4likeback #likeforlikes #liked #liketime #artwork #art #following #followers #follower #follow4like #folow4folow #follow4followback";youssef_berzegane
1;19/10/2018 19:59;Normal;https://scontent.cdninstagram.com/vp/320b642aea484d4d99bdf729f790184c/5BD620CC/t51.2885-15/e35/s320x320/43218570_2205796856364004_4751648313463690249_n.jpg;33,9848;12;https://www.instagram.com/p/BpII8uUh5r7/;Rabat, Morocco;-6,8618;0;????,oncf,???????,??????,????;"#???? #??????? ??? ????? ???? 
#??????
#???? 
#oncf";achraf_mohamed_adib
1;19/10/2018 18:22;X-Pro II;https://scontent.cdninstagram.com/vp/f61635768cbb8975b479ccca744846fa/5C6F21A2/t51.2885-15/e35/s320x320/43984904_483975825418369_4353483060614407688_n.jpg;0;30;https://www.instagram.com/p/BpH-QA8FpaL/;;0;0;oncf;"Ouuuuuf.. #ONCF l3adab aller retour...
25min de retard au niveau de Rabat Ville.";karim_hadri
1;19/10/2018 15:19;X-Pro II;https://scontent.cdninstagram.com/vp/35f9d532fe893921e654c3075208c0f5/5C5000E1/t51.2885-15/e35/s320x320/43023155_924199064595554_8829032021062772289_n.jpg;0;32;https://www.instagram.com/p/BpHpWfqFs5X/;;0;0;maroc,oncf;"Casa port: 12h45
Rabat ville: 16h00
Casa-Rabat en 3 Heures par train.
Merci à #ONCF.
Bienvenue au #Maroc.";karim_hadri
1;19/10/2018 13:35;Normal;https://scontent.cdninstagram.com/vp/6687995ba81eaec07d14e5ae00cc593e/5C88D026/t51.2885-15/e35/p320x320/42949603_568057313651040_2727895174430059218_n.jpg;0;152;https://www.instagram.com/p/BpHda1VlLWJ/;;0;0;coffin,??????,???,???????,????,train,??????,photoshop,moroccan,graphic,shrouds,visualart,art,oncf,graphicdesigner,visual,grave,morocco,photshopmanipulation;"#photshopmanipulation #Photoshop #graphicdesigner #graphic #visual #visualart #art #train #oncf #Morocco #moroccan #??????? #?????? #???? #??? #??????
#shrouds #coffin #grave";hamza_zahir
1;19/10/2018 12:31;Normal;https://scontent.cdninstagram.com/vp/038312cc1713bb5fda24d48602b49d57/5C67D503/t51.2885-15/e35/s320x320/43377468_989903237884294_8739503876806183684_n.jpg;0;7;https://www.instagram.com/p/BpHWKlsHVTx/;;0;0;??????,instagram,???_???_????_????_??????,oncf,train,????_???????,bouknadel,?????_?????_?????,maroc,????_?????,????_??????,?????_???????,??????_??????;"?? ????? ?
?? ?????? ?
?? ??????
??? ????????? ????? ? ????? ??????? ? ?? ??? ???? ? ??????? ????? ???? ????? ? ????? ??? ????????? ???? ??????? ??? ? ???????? ?????? ??? ???? ???? ???? ??? ???? ????? ? ? ?? ???? ?? ???? ? ???? ???? ? ??? ?????? ? ????? ???? ?????? ?? ???? ??????? ? ???????? ??????? ???? ???? ????? ? ???? ???? ??????? ? ???? ????? ?????? ? ???? ???? ????? ????? ???? ????? 
#?????_??????? #????_????? #????_??????? #??????_?????? #?????_?????_????? #????_?????? #???_???_????_????_?????? #??????
#train #bouknadel #maroc #instagram #oncf";felfela__________7arra
1;19/10/2018 12:14;Normal;https://scontent.cdninstagram.com/vp/666600e2f26d798f5ef1f97bda03a142/5BD64C64/t51.2885-15/e35/s320x320/42885357_494659064351863_5797608906226034786_n.jpg;0;25;https://www.instagram.com/p/BpHT-KAjFSv/;;0;1;?????,?????_??????,??????,???_?????,douniabatma,????,???????,?????,?????_????,???????_????????,????,????_????_?????,?????,??????,????,saadlamjarred,cristianoronaldo,???????,zouhairbahaoui,explorer,???????_??_??????,?????_???????,casablanca,follow,oncf,??????,maghribinachet,mdr,??????,????_??????;"?????? ????? ????
?????? ?? ???? ????????????????????????
????????? ???? ????? ? ?????? ????????? ????  Follow ?? @maghribinachet ?? Follow??
??????? ???? ???? ?? ???????
???? ??? ???? ??????? ???? ??
???????? ??? ????? ??
??????? ???? ???? ????? ?????? ? ?????? ?? ????? ??????
??
??
??
??
??
??
??
??
??

#?????? #???? #???? #????? #????? #????? #?????? #??????? #?????_?????? #?????_??????? #???? #???_????? #?????? #??????? #cristianoronaldo #????_?????? #?????? #?????_???? #????_????_????? #?????? #???_????? #????_????_????? #???????_???????? #???????_??_?????? #douniabatma #mdr #maghribinachet #follow #casablanca#zouhairbahaoui #saadlamjarred#explorer #oncf";maghribinachet
1;19/10/2018 11:50;Normal;https://scontent.cdninstagram.com/vp/f34a39ad0379036de9826c978e013d2c/5C6CBFCA/t51.2885-15/e15/s320x320/42861537_312886072871296_3808907803588258670_n.jpg;0;137;https://www.instagram.com/p/BpHRdlRHvQC/;;0;8;bouknadel,telquel,oncf;En couverture du numéro 827 de #TelQuel, en kiosque et disponible en accès digital sur telquel.ma : Drame de #Bouknadel. l'#ONCF est-il responsable?;telquel
1;19/10/2018 09:07;Aden;https://scontent.cdninstagram.com/vp/3be4cfc2a988a31d82aaddadcb3bcf2f/5C51D986/t51.2885-15/e35/s320x320/43572286_700698970300080_6306727851437588480_n.jpg;32;4508;https://www.instagram.com/p/BpG-2CfnNzb/;Morocco;-6;2;????,maroc,????,morocconews,morocco,news,prayformorocco,?????_??????,?????????,???,oncf,maroccan,???????_????????,trains,??????,rabat,????,tangier,kenitra,tetouan,????_???????,??????;"I would like to take this opportunity to express my sincere condolences to the Kingdom of Morocco and the families of those involved in this tragic incident.
""To Allah we belong, and to him we do return""????
Al-baqaa2 Lillaah?? .
.
.
.
.
.

#?????? #???????_???????? #?????_?????? #prayformorocco #morocco #maroc #maroccan #rabat #kenitra #tetouan #tangier #news #???? #???? #?????? #???? #????????? #????_??????? #oncf #trains #morocconews #???";anass.official
1;19/10/2018 08:55;Normal;https://scontent.cdninstagram.com/vp/e43f82916bf34207f5f1e12f688f5d65/5C6786D7/t51.2885-15/e35/p320x320/43914990_254641878728821_4250962661273182002_n.jpg;0;2;https://www.instagram.com/p/BpG9cq_AFBA/;;0;1;oncf;Numéro 1 au box-office ????????????????????????????????????;loursoujda
1;18/10/2018 18:52;Clarendon;https://scontent.cdninstagram.com/vp/8aa90421dfc056fcdaaa9dd1825fd1e7/5C4A721B/t51.2885-15/e35/p320x320/44429966_443857286139352_2226598864552945597_n.jpg;0;23;https://www.instagram.com/p/BpFc5gQAB22/;;0;0;train,psychology,horror,wounds,blood,pain,makeup,sick,scared,oncf,dead;"??????? ??? 
?? ??? ??? ???? ?????? ? ??????? ?????? ?????? ??????
@groupe_oncf #oncf #dead #train #wounds #pain #blood #sick #makeup #horror #scared #psychology";shiru_swan
1;19/10/2018 01:49;Normal;https://scontent.cdninstagram.com/vp/2d0813b2529171eea7f52b482307d408/5C852E24/t51.2885-15/e35/p320x320/43419270_449618848894497_6928614527308839706_n.jpg;0;9;https://www.instagram.com/p/BpGMoy3Avp9/;;0;0;oncf_baraka,oncf,????_????;"Heureusement que le People est là pour sauver le People .On attend plus rien de l'État ni de l' #ONCF .Bravo à ce groupe de psychologues bénévoles ,merci !! #oncf_baraka
#????_????
#oncf";anace_benouahi
